"title","labels","body"
"Bug #018: Boolean Logic Errors","good first issue,documentation,bugs","Boolean logic errors occur when conditional statements use incorrect logical operators or misunderstand De Morgan's Laws. These subtle bugs can cause code to execute when it shouldn't or skip when it should. Common issues include using `&&` instead of `||`, incorrect `!` placement, or confused logic in complex conditionals."
"Bug #019: Exception Handling Failures","good first issue,documentation,bugs","Exception handling failures occur when exceptions are not caught, caught incorrectly, or when exception handling code doesn't properly recover from errors. This includes overly broad catch blocks, ignoring caught exceptions, not cleaning up resources, and missing error handling entirely."
"Bug #020: Resource Cleanup Failures","good first issue,documentation,bugs","Resource cleanup failures occur when system resources like file handles, database connections, memory, or network sockets are not properly released. This leads to resource exhaustion, memory leaks, and eventual system failure. Common in file I/O, database operations, and network programming."
"Bug #021: Iterator Invalidation","good first issue,documentation,bugs","Iterator invalidation occurs when modifying a collection while iterating over it, causing the iterator to become invalid or point to wrong elements. This leads to skipped elements, exceptions, or undefined behavior. Common in C++ STL, Java collections, and Python iterators."
"Bug #022: Comparison Operator Confusion","good first issue,documentation,bugs","Comparison operator confusion occurs when using wrong operators (`<` instead of `<=`, `!=` instead of `===`, etc.) in conditionals. This causes logic to execute incorrectly, boundaries to be wrong, or type coercion issues. A subtle but common source of bugs."
"Bug #023: String Encoding and Charset Issues","good first issue,documentation,bugs","String encoding issues occur when strings with non-ASCII characters (Unicode) are handled incorrectly. This includes encoding/decoding mistakes, charset mismatches, and data corruption. With global applications, this is increasingly important."
"Bug #024: Regular Expression Pattern Errors","good first issue,documentation,bugs","Regular expression (regex) pattern errors occur when regex patterns are written incorrectly, causing matches to fail, match wrong text, or perform unexpectedly. Regex is notoriously tricky, with subtle syntax differences between languages and easy-to-miss edge cases."
"Bug #025: Thread Synchronization Issues","good first issue,documentation,bugs","Thread synchronization issues occur in multithreaded programs when multiple threads access shared data without proper coordination. This causes race conditions, deadlocks, and data corruption. These are notoriously difficult bugs to reproduce and debug."
"Bug #026: File I/O and Path Handling Errors","good first issue,documentation,bugs","File I/O errors occur when handling files incorrectly - wrong paths, missing error handling, incorrect modes, or platform-specific path issues. These bugs cause data loss, application crashes, or security vulnerabilities."
"Bug #027: Network Timeout and Connection Errors","good first issue,documentation,bugs","Network timeout and connection errors occur when communicating with remote systems without proper timeout handling, retry logic, or error recovery. These bugs cause applications to hang, lose data, or fail to handle temporary network issues gracefully."
"Bug #028: Stack Overflow and Recursion Errors","good first issue,documentation,bugs","Stack overflow occurs when the call stack runs out of space, typically due to infinite recursion, excessively deep recursion, or allocation of huge objects on the stack. This causes crashes with no recovery possible."
"Bug #029: Database Query and SQL Injection","good first issue,documentation,bugs","Database query bugs occur when SQL queries are constructed incorrectly, causing data loss, security vulnerabilities (SQL injection), or incorrect results. SQL injection is particularly dangerous, allowing attackers to execute arbitrary code on the database."
"Bug #030: API Response Parsing and Deserialization Errors","good first issue,documentation,bugs","API response parsing errors occur when deserializing data from external APIs, leading to missing fields, type mismatches, null pointer exceptions, or silently ignoring errors. These bugs are common when APIs change or return unexpected formats."
